dataset,model,bin,lower_edge,upper_edge,n,mean_confidence,accuracy,accuracy_wilson_low,accuracy_wilson_high
Brain_Atlas,scGPT embeddings plus XGBoost,7,0.6,0.7,37,0.6569885627643482,0.6216216216216216,0.46100430439217654,0.7593600082420173
Brain_Atlas,scGPT embeddings plus XGBoost,8,0.7,0.8,41,0.7572547386332256,0.6585365853658537,0.5054983651982969,0.7844119174261515
Brain_Atlas,scGPT embeddings plus XGBoost,9,0.8,0.9,80,0.8540219441056252,0.6875,0.5793222425531256,0.7784959588710517
Brain_Atlas,scGPT embeddings plus XGBoost,10,0.9,1.0,14934,0.9987858562436276,0.9924333735101112,0.9909113280340262,0.9937021477847995
Brain_Atlas,Matched HVGs plus Logistic Regression,1,0.0,0.1,0,,,,
Brain_Atlas,Matched HVGs plus Logistic Regression,2,0.1,0.2,0,,,,
Brain_Atlas,Matched HVGs plus Logistic Regression,3,0.2,0.3,0,,,,
Brain_Atlas,Matched HVGs plus Logistic Regression,4,0.3,0.4,0,,,,
Brain_Atlas,Matched HVGs plus Logistic Regression,5,0.4,0.5,6,0.4530794868866603,0.5,0.1876163064826506,0.8123836935173494
Brain_Atlas,Matched HVGs plus Logistic Regression,6,0.5,0.6,59,0.5516537488517115,0.4576271186440678,0.3370130585185591,0.5834216338989654
Brain_Atlas,Matched HVGs plus Logistic Regression,7,0.6,0.7,63,0.6619149692474849,0.6031746031746031,0.47980918511657444,0.7146808848095354
Brain_Atlas,Matched HVGs plus Logistic Regression,8,0.7,0.8,101,0.750637139424239,0.6534653465346535,0.5565798302066218,0.7391047238686699
Brain_Atlas,Matched HVGs plus Logistic Regression,9,0.8,0.9,133,0.8556745536345288,0.8345864661654135,0.7622362392369156,0.8881514485808409
Brain_Atlas,Matched HVGs plus Logistic Regression,10,0.9,1.0,14754,0.9983876065395382,0.9920699471329809,0.9905051202505097,0.9933786028885176
Brain_Atlas,Matched HVGs plus Random Forest,1,0.0,0.1,0,,,,
Brain_Atlas,Matched HVGs plus Random Forest,2,0.1,0.2,0,,,,
Brain_Atlas,Matched HVGs plus Random Forest,3,0.2,0.3,1,0.25,1.0,0.20654931437723745,1.0
Brain_Atlas,Matched HVGs plus Random Forest,4,0.3,0.4,21,0.3473809545948392,0.42857142857142855,0.2446996892537596,0.6345344563069328
Brain_Atlas,Matched HVGs plus Random Forest,5,0.4,0.5,76,0.4580263173893878,0.6052631578947368,0.49286296638958565,0.7075341735967013
Brain_Atlas,Matched HVGs plus Random Forest,6,0.5,0.6,136,0.5478676443590837,0.625,0.5412537518929232,0.7018787231736812
Brain_Atlas,Matched HVGs plus Random Forest,7,0.6,0.7,169,0.6519230794624464,0.7751479289940828,0.7064936482445562,0.8315717015537135
Brain_Atlas,Matched HVGs plus Random Forest,8,0.7,0.8,342,0.755146199673937,0.8918128654970761,0.8544361040303322,0.9204854479254961
Brain_Atlas,Matched HVGs plus Random Forest,9,0.8,0.9,1029,0.8638386744915338,0.9650145772594753,0.9519465866000566,0.9746235000545879
Brain_Atlas,Matched HVGs plus Random Forest,10,0.9,1.0,13342,0.9779628289860954,0.9967770948883226,0.9956619218592387,0.9976062838887535
Brain_Atlas,Matched HVGs plus XGBoost,1,0.0,0.1,0,,,,
Brain_Atlas,Matched HVGs plus XGBoost,2,0.1,0.2,0,,,,
Brain_Atlas,Matched HVGs plus XGBoost,3,0.2,0.3,0,,,,
Brain_Atlas,Matched HVGs plus XGBoost,4,0.3,0.4,2,0.3921442925930023,0.5,0.09453120573423074,0.9054687942657693
Brain_Atlas,Matched HVGs plus XGBoost,5,0.4,0.5,6,0.4668157448371251,0.16666666666666666,0.030053369748306635,0.5635028221864702
Brain_Atlas,Matched HVGs plus XGBoost,6,0.5,0.6,38,0.5500866268810473,0.5526315789473685,0.3970629712199248,0.6985359900194876
Brain_Atlas,Matched HVGs plus XGBoost,7,0.6,0.7,44,0.6503385522148826,0.4318181818181818,0.2968272340851781,0.5777585300637057
Brain_Atlas,Matched HVGs plus XGBoost,8,0.7,0.8,56,0.7467623289142337,0.6785714285714286,0.5482263990973855,0.7859900520744849
Brain_Atlas,Matched HVGs plus XGBoost,9,0.8,0.9,95,0.8581136019606339,0.8,0.7086265584527134,0.8680545294236028
Brain_Atlas,Matched HVGs plus XGBoost,10,0.9,1.0,14875,0.9973647814398052,0.9939495798319328,0.9925694829293346,0.9950746183046559
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,1,0.0,0.1,0,,,,
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,2,0.1,0.2,71,0.19124966209203426,0.15492957746478872,0.08877304270169767,0.25650962853277587
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,3,0.2,0.3,8026,0.2682895447911243,0.2701221031647147,0.26051965267020927,0.2799444998384839
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,4,0.3,0.4,19383,0.3510334915447634,0.3538667904865088,0.3471647476167098,0.36062674528671423
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,5,0.4,0.5,18763,0.4492776688085667,0.45802909982412193,0.45090936861500497,0.46516601341153585
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,6,0.5,0.6,15977,0.5473946739311563,0.5738248732553045,0.5661399913028818,0.5814742633080942
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,7,0.6,0.7,9681,0.6440414696448524,0.6871190992666046,0.67781020877221,0.6962795494757443
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,8,0.7,0.8,3924,0.7410530449630774,0.768348623853211,0.7548898330508989,0.7812825206653102
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,9,0.8,0.9,1821,0.8468132856322932,0.8610653487095002,0.8444177411702579,0.8761928048274313
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,10,0.9,1.0,475,0.9185927655822352,0.9726315789473684,0.95374265378454,0.9839372227779685
Multi_Tissue_TME,scGPT embeddings plus Random Forest,1,0.0,0.1,0,,,,
Multi_Tissue_TME,scGPT embeddings plus Random Forest,2,0.1,0.2,216,0.18985647859948654,0.1574074074074074,0.11488205796571119,0.21190552434963847
Multi_Tissue_TME,scGPT embeddings plus Random Forest,3,0.2,0.3,16691,0.26032525090733166,0.2987238631597867,0.29182719365266174,0.3057131593615907
Multi_Tissue_TME,scGPT embeddings plus Random Forest,4,0.3,0.4,20966,0.34496932973345873,0.4054182962892302,0.398790401566698,0.4120808437983092
